model,horizon,slope,slope_method,benchmark,score,release_date
claude_3_opus_20240229,500.028,0.6525,,gpqa_diamond,0.4716,2024-02-29
mistral_small_2503,481.1700000000001,0.6126,,gpqa_diamond,0.4747,2025-03-17
gpt_4o_2024_05_13,471.018,0.5245,,gpqa_diamond,0.489,2024-05-01
gpt_4_turbo_2024_04_09,459.786,0.6289,,gpqa_diamond,0.4659,2024-04-09
gemini_1_5_pro_001,415.506,0.5879,,gpqa_diamond,0.4586,2024-05-24
qwen_qwen2_72b_instruct,396.18,0.8025,,gpqa_diamond,0.4078,
qwen_plus_2025_01_25,388.28999999999996,0.4724,,gpqa_diamond,0.4811,2025-01-25
qwen_qwen2_5_72b_instruct,381.36,0.4213,,gpqa_diamond,0.4915,
claude_3_sonnet_20240229,377.232,0.7832,,gpqa_diamond,0.4059,2024-02-29
wizardlm_2_8x22b,361.44,0.6233,,gpqa_diamond,0.4343,2024-04-15
gpt_4_0125_preview,358.332,0.6624,,gpqa_diamond,0.4227,2024-01-25
gpt_4_1106_preview,345.984,0.6439,,gpqa_diamond,0.4236,2023-11-06
open_mistral_nemo_2407,345.40200000000004,1.5926,,gpqa_diamond,0.2989,2024-07-18
meta_llama_meta_llama_3_70b_instruct,340.38,0.7138,,gpqa_diamond,0.4056,
mistral_small_2501,333.522,0.5133,,gpqa_diamond,0.453,2025-01-25
gpt_4o_mini_2024_07_18,333.156,0.8721,,gpqa_diamond,0.3772,2024-07-18
claude_3_5_haiku_20241022,305.99399999999997,0.78,,gpqa_diamond,0.3813,2024-10-22
prime_rl_eurus_2_7b_prime,303.288,1.0624,,gpqa_diamond,0.339,
meta_llama_meta_llama_3_8b_instruct,297.75,47.2029,,gpqa_diamond,0.2607,
nousresearch_hermes_2_theta_llama_3_70b,286.674,0.7679,,gpqa_diamond,0.3747,
databricks_dbrx_instruct,277.62600000000003,1.0398,,gpqa_diamond,0.3289,
gpt_4_0613,271.24199999999996,1.2185,,gpqa_diamond,0.3065,2023-06-01
gemma_3_27b_it,269.064,0.3361,,gpqa_diamond,0.4886,2025-03-12
meta_llama_meta_llama_3_1_8b_instruct,268.71000000000004,3.4495,,gpqa_diamond,0.2595,
qwen_qwen2_5_32b_instruct,266.868,0.4135,,gpqa_diamond,0.4609,
gemma_2_9b_it,265.43399999999997,1.6514,,gpqa_diamond,0.2746,2024-06-24
meta_llama_meta_llama_3_1_70b_instruct,243.20999999999998,0.4477,,gpqa_diamond,0.4419,
accounts_fireworks_models_llama_v3p2_90b_vision_instruct,217.89600000000002,0.5162,,gpqa_diamond,0.4104,
gemini_1_5_flash_001,203.952,0.514,,gpqa_diamond,0.4037,2024-05-23
deepseek_llm_67b_chat,186.12,3.5906,,gpqa_diamond,0.2462,2023-11-29
gemini_1_5_flash_002,169.85999999999999,0.293,,gpqa_diamond,0.4732,2024-09-24
qwen_turbo_2024_11_01,169.122,0.4316,,gpqa_diamond,0.4179,2024-11-01
ministral_8b_2410,163.20000000000002,1.1386,,gpqa_diamond,0.2715,2024-10-16
allenai_llama_3_1_tulu_3_70b_dpo,150.192,0.2978,,gpqa_diamond,0.4628,
meta_llama_meta_llama_3_1_405b_instruct,127.044,0.1893,,gpqa_diamond,0.5092,
gpt_3_5_turbo_0125,113.988,1.1021,,gpqa_diamond,0.2718,2024-01-25
ministral_3b_2410,105.89999999999999,1.2579,,gpqa_diamond,0.2525,2024-10-16
claude_3_haiku_20240307,101.226,0.4804,,gpqa_diamond,0.363,2024-03-07
qwen_qwen1_5_32b_chat,101.16,0.7027,,gpqa_diamond,0.3074,
claude_2_1,96.498,0.5843,,gpqa_diamond,0.3295,2023-11-21
claude_2_0,84.396,0.4913,,gpqa_diamond,0.3466,2023-07-11
meta_llama_llama_2_70b_chat_hf,80.52000000000001,1.017,,gpqa_diamond,0.2633,
open_mixtral_8x22b,77.982,0.4916,,gpqa_diamond,0.3406,2024-04-17
gemma_2_27b_it,53.652,0.3742,,gpqa_diamond,0.3649,2024-06-24
open_mistral_7b,48.593999999999994,5.2718,,gpqa_diamond,0.1323,2023-09-27
mixtral_8x7b_instruct_v0_1,42.726,0.5311,,gpqa_diamond,0.3059,2023-12-11
01_ai_yi_34b_chat,41.802,5.0583,,gpqa_diamond,0.1474,
qwen_qwen1_5_72b_chat,36.498,0.5757,,gpqa_diamond,0.2882,
mistral_7b_instruct_v0_3,36.084,4.9445,,gpqa_diamond,0.1518,2024-05-27
gemini_2_5_flash_preview_05_20,19.302,3.7646,,gpqa_diamond,0.0442,2025-05-20
mistral_large_2402,19.05,0.2456,,gpqa_diamond,0.3876,2024-02-26
open_mixtral_8x7b,15.234000000000002,0.4221,,gpqa_diamond,0.2983,2023-12-11
phi_3_medium_128k_instruct,9.623999999999999,0.4665,,gpqa_diamond,0.2759,2024-04-23
01_ai_yi_1_5_34b_chat,0.6,0.2059,,gpqa_diamond,0.3198,
gemini_1_0_pro_001,0.6,0.1802,,gpqa_diamond,0.3396,2024-02-15
gpt_4_1_nano_2025_04_14,0.6,0.0682,,gpqa_diamond,0.4893,2025-04-14
gpt_3_5_turbo_1106,0.6,0.2916,,gpqa_diamond,0.2803,2023-11-06
gemini_1_5_flash_8b_001,0.6,0.1935,,gpqa_diamond,0.3295,2024-10-03
accounts_fireworks_models_llama_v3p3_70b_instruct,0.6,0.0766,,gpqa_diamond,0.4744,
o3,7056.822,0.6,,hcast_r_s,0.7766,2025-04-16
o4_mini,4666.692,0.6,,hcast_r_s,0.7487,2025-04-16
claude_3_7_sonnet,3794.976,0.6,,hcast_r_s,0.7233,2025-02-24
o1,3086.094,0.6,,hcast_r_s,0.6959,2024-12-05
claude_3_5_sonnet_latest,1659.618,0.6,,hcast_r_s,0.6504,2024-10-22
o1_preview,1659.618,0.6,,hcast_r_s,0.6399,2024-09-12
claude_3_5_sonnet_old,1097.5079999999998,0.6,,hcast_r_s,0.6092,2024-06-20
gpt_4_1106,590.2139999999999,0.6,,hcast_r_s,0.547,2023-11-06
gpt_4o_2024_05_13,590.2139999999999,0.6,,hcast_r_s,0.553,2024-05-01
claude_3_opus,479.964,0.6,,hcast_r_s,0.5265,2024-03-04
gpt_4_0314,390.306,0.6,,hcast_r_s,0.5149,2023-03-14
gpt_4_turbo,390.306,0.6,,hcast_r_s,0.5185,2023-11-06
gpt_4_0125,317.4,0.6,,hcast_r_s,0.5021,2024-01-25
gpt_3_5_turbo_instruct,49.362,0.6,,hcast_r_s,0.3803,2023-09-18
davinci_002,14.274000000000001,0.6,,hcast_r_s,0.2804,2020-05-28
