model,aime,gpqa,gpqa_diamond,hcast_r_s,hcast_r_s_full_method,hendrycks_math,livecodebench_2411_2505,osworld,tesla_fsd,video_mme,release_date
phi_4,,,719.64,,,,,,,,2024-12-12
php,,,,,,104.49600000000001,,,,,
prime_rl_eurus_2_7b_prime,,,303.192,,,,,,,,
quota,,,,,,,,,,2160.564,
qwen2_5_math_1_5b_instruct,,,,,,619.9499999999999,,,,,
qwen2_5_math_72b_instruct,,,,,,1510.044,,,,,
qwen2_5_math_7b_instruct,,,,,,1057.6380000000001,,,,,
qwen2_72b_instruct_step_dpo,,,,,,304.12199999999996,,,,,
qwen2_math_72b_instruct,,,,,,885.138,,,,,
qwen2idae_16x14b,,,,,,23.004,,,,,
qwen3_235b_a22b,,,,,,,1878.864,,,,2025-04-28
qwen_2_5_vl_72b,,,,,,,,4.632000000000001,,208512.612,2024-09-19
qwen_max_2025_01_25,,,758.724,,,,,,,,2025-01-25
qwen_plus_2025_01_25,,,388.236,,,,,,,,2025-01-25
qwen_qwen1_5_32b_chat,,,101.154,,,,,,,,
qwen_qwen1_5_72b_chat,,,36.437999999999995,,,,,,,,
qwen_qwen2_5_32b_instruct,,,266.844,,,,,,,,
qwen_qwen2_5_72b_instruct,,,381.168,,,,,,,,
qwen_qwen2_72b_instruct,,,396.204,,,,,,,,
qwen_turbo_2024_11_01,,,169.044,,,,,,,,2024-11-01
qwen_vl_max_0809,,,,,,,,1.098,,,
qwq_plus,,,2001.5040000000001,,,,,,,,2025-04-08
retake,,,,,,,,,,3209.5319999999997,
sft_mistral_7b,,,,,,51.257999999999996,,,,,
shepherd___deepseek_67b,,,,,,73.188,,,,,
shepherd___mistral_7b,,,,,,30.048000000000002,,,,,
shepherd_mistral_7b,,,,,,56.034,,,,,
skic,,,,,,124.86,,,,,
tpo,,,,,,,,,,5269.11,
ui_tars_1_5,,,,,,,,77.466,,,2025-04-17
ui_tars_72b_dpo,,,,,,,,24.828,,,2025-04-17
videochat_flash,,,,,,,,,,1700.814,
videollama_2,,,,,,,,,,755.94,
videollama_3,,,,,,,,,,1799.49,
vilamp,,,,,,,,,,7184.592000000001,
wizardlm_2_8x22b,,,361.458,,,,,,,,2024-04-15
wizardmath_13b_v1_0,,,,,,6.054,,,,,
wizardmath_70b_v1_0,,,,,,13.482000000000001,,,,,
wizardmath_7b_v1_0,,,,,,4.236,,,,,
wizardmath_7b_v1_1,,,,,,30.048000000000002,,,,,
xai_grok_2,78.864,570.87,,,,,,,,,2024-08-13
xai_grok_3_beta,5381.388,2754.75,,,,,,,,,2025-02-18
xai_grok_3_mini_fast_beta_high_reasoning,5381.388,4191.414,,,,,,,,,2025-02-18
xai_grok_3_mini_fast_beta_low_reasoning,1795.068,2754.75,,,,,,,,,2025-02-18
